source,destination,timestamp,reporter,value
checkoutservice,currencyservice,1739228860,destination,22105
checkoutservice,emailservice,1739228860,destination,10767
checkoutservice,paymentservice,1739228860,destination,10800
checkoutservice,productcatalogservice,1739228860,destination,11477
checkoutservice,shippingservice,1739228860,destination,21595
frontend,adservice,1739228860,destination,102670
frontend,cartservice,1739228860,destination,247377
frontend,checkoutservice,1739228860,destination,12258
frontend,currencyservice,1739228860,destination,726408
frontend,productcatalogservice,1739228860,destination,1029556
frontend,recommendationservice,1739228860,destination,149547
frontend,shippingservice,1739228860,destination,72128
recommendationservice,productcatalogservice,1739228860,destination,151303
unknown,frontend,1739228860,destination,283457
checkoutservice,cartservice,1739228920,destination,21982
checkoutservice,currencyservice,1739228920,destination,22386
checkoutservice,emailservice,1739228920,destination,10906
checkoutservice,paymentservice,1739228920,destination,10934
checkoutservice,productcatalogservice,1739228920,destination,11620
checkoutservice,shippingservice,1739228920,destination,21863
frontend,adservice,1739228920,destination,103962
frontend,cartservice,1739228920,destination,250534
frontend,checkoutservice,1739228920,destination,12395
frontend,currencyservice,1739228920,destination,735367
frontend,productcatalogservice,1739228920,destination,1042484
frontend,recommendationservice,1739228920,destination,151462
frontend,shippingservice,1739228920,destination,73033
recommendationservice,productcatalogservice,1739228920,destination,153254
unknown,frontend,1739228920,destination,286798
checkoutservice,cartservice,1739228980,destination,22181
checkoutservice,currencyservice,1739228980,destination,22669
checkoutservice,emailservice,1739228980,destination,11042
checkoutservice,paymentservice,1739228980,destination,11077
